,0
0,154.0
1,40.0
2,33.0
3,25.0
4,5.0
5,74.0
6,194.0
7,192.0
8,144.0
9,156.0
10,178.0
11,168.0
12,170.0
13,194.0
14,257.0
15,344.0
16,354.0
17,316.0
18,339.0
19,373.0
20,346.0
21,357.0
22,428.0
23,383.0
24,186.0
25,58.0
26,60.0
27,52.0
28,37.0
29,118.0
30,236.0
31,281.0
32,242.0
33,212.0
34,197.0
35,186.0
36,236.0
37,311.0
38,348.0
39,362.0
40,359.0
41,344.0
42,355.0
43,393.0
44,386.0
45,369.0
46,404.0
47,429.0
48,294.0
49,86.0
50,18.0
51,26.0
52,32.0
53,127.0
54,252.0
55,229.0
56,133.0
57,146.0
58,215.0
59,209.0
60,194.0
61,244.0
62,299.0
63,358.0
64,368.0
65,276.0
66,270.0
67,390.0
68,436.0
69,387.0
70,369.0
71,338.0
72,189.0
73,54.0
74,63.0
75,79.0
76,24.0
77,53.0
78,166.0
79,213.0
80,179.0
81,146.0
82,153.0
83,167.0
84,174.0
85,207.0
86,274.0
87,338.0
88,334.0
89,278.0
90,300.0
91,344.0
92,287.0
93,268.0
94,360.0
95,368.0
96,205.0
97,58.0
98,42.0
99,32.0
100,5.0
101,61.0
102,151.0
103,149.0
104,120.0
105,142.0
106,140.0
107,98.0
108,106.0
109,185.0
110,257.0
111,318.0
112,351.0
113,301.0
114,269.0
115,303.0
116,318.0
117,303.0
118,303.0
119,263.0
120,137.0
121,32.0
122,27.0
123,32.0
124,23.0
125,70.0
126,126.0
127,127.0
128,126.0
129,142.0
130,122.0
131,87.0
132,126.0
133,199.0
134,213.0
135,249.0
136,330.0
137,315.0
138,237.0
139,239.0
140,286.0
141,320.0
142,378.0
143,402.0
144,281.0
145,102.0
146,32.0
147,14.0
148,13.0
149,85.0
150,130.0
151,95.0
152,107.0
153,150.0
154,133.0
155,118.0
156,160.0
157,209.0
158,258.0
159,341.0
160,370.0
161,298.0
162,296.0
163,376.0
164,416.0
165,440.0
166,428.0
167,318.0
168,176.0
169,78.0
170,31.0
171,10.0
172,27.0
173,96.0
174,148.0
175,153.0
176,148.0
177,147.0
178,151.0
179,143.0
180,152.0
181,209.0
182,274.0
183,323.0
184,343.0
185,313.0
186,284.0
187,294.0
188,300.0
189,294.0
190,310.0
191,298.0
192,184.0
193,54.0
194,23.0
195,22.0
196,8.0
197,54.0
198,123.0
199,127.0
200,108.0
201,125.0
202,131.0
203,113.0
204,137.0
205,190.0
206,230.0
207,284.0
208,325.0
209,281.0
210,219.0
211,204.0
212,188.0
213,172.0
214,180.0
215,159.0
216,90.0
217,53.0
218,76.0
219,90.0
220,74.0
221,88.0
222,102.0
223,90.0
224,92.0
225,114.0
226,116.0
227,109.0
228,125.0
229,168.0
230,223.0
231,278.0
232,303.0
233,260.0
234,232.0
235,271.0
236,265.0
237,222.0
238,228.0
239,236.0
240,165.0
